model|params|mean_test_score|std_test_score|rank_test_score
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 100}|0.9065538939282504|0.0019255276914306|71
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 150}|0.90757538612405|0.001762563989807|69
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 31}|0.9037345754678434|0.0021866614628192|81
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 50}|0.9061044373620986|0.0020491856525171|73
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 100}|0.9084906431314864|0.0021357699259322|64
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 150}|0.909340524638392|0.0016760243514971|56
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31}|0.9089074119473728|0.0017651385143417|61
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 50}|0.910746097899812|0.001819720040591|53
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 100}|0.9121516711612324|0.0019407276435462|40
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 150}|0.9125520961019856|0.0020129192520328|33
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31}|0.9119964043474708|0.0019546823693854|47
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 50}|0.9133938056713248|0.0018463154251017|20
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 100}|0.913810574487211|0.002001974601328|12
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 150}|0.9138105744872108|0.0019071628604928|13
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 31}|0.903873498406472|0.0020215596378534|80
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 50}|0.9059573424859032|0.0019749393907116|74
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 100}|0.90848247119392|0.0017453161970121|65
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 150}|0.9093732123886572|0.0015953078945395|55
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 31}|0.9088665522595408|0.0018492067323971|62
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 50}|0.9108114734003432|0.0018003132708595|51
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 100}|0.912184358911498|0.001747610452928|39
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 150}|0.9129770368554384|0.0022066349978043|29
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 31}|0.912143499223666|0.0020471315266659|41
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 50}|0.9130996159189344|0.0022589754283959|24
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 100}|0.9139331535507068|0.0022260993916921|8
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 150}|0.9139331535507068|0.0023425967628888|8
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 31}|0.9040287652202338|0.0019929142577887|79
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 50}|0.9058265914848412|0.0021649311940421|75
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 100}|0.9084170956933888|0.0019313454273723|66
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 150}|0.9092097736373294|0.0016981121093075|57
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 31}|0.9089646155103374|0.0020277276198198|60
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 50}|0.9108605050257416|0.0016154000442018|50
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 100}|0.9120944675982676|0.0018950439539933|42
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 100, 'num_leaves': 150}|0.9123804854130916|0.0022113510687755|36
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 31}|0.9120944675982676|0.0017466931121783|42
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 50}|0.913050584293536|0.0021051266469673|25
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 100}|0.9142109994279644|0.0021840028697129|1
LightGBM|{'learning_rate': 0.05, 'min_child_samples': 50, 'n_estimators': 200, 'num_leaves': 150}|0.9139658413009724|0.002249079938468|7
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 31}|0.908972787447904|0.0018828115778173|59
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 50}|0.9110484595897688|0.0016779358035741|49
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 100}|0.9122824221622948|0.0021436972040891|38
